id,type,ts,cpu,mem
cpu,1,1705665459215000000,0.010271,6660096
cpu,1,1705665461869000000,0.008997,6660096
cpu,1,1705665464208000000,0.009583,6660096
cpu,1,1705665466974000000,0.007023,6660096
cpu,1,1705665469396000000,0.010014,6782976
cpu,1,1705665471948000000,0.008281,6660096
cpu,1,1705665474537000000,0.007935,6660096
cpu,1,1705665476751000000,0.008238,6656000
cpu,1,1705665479035000000,0.007943,6656000
cpu,1,1705665481188000000,0.009585,6660096
cpu,1,1705665483403000000,0.008052,6660096
cpu,1,1705665485606000000,0.009374,6660096
cpu,1,1705665487802000000,0.008040,6660096
cpu,1,1705665490101000000,0.007962,6660096
cpu,1,1705665492313000000,0.008755,6656000
cpu,1,1705665494525000000,0.008798,6656000
cpu,1,1705665496723000000,0.008763,6660096
cpu,1,1705665499069000000,0.008404,6656000
cpu,1,1705665501268000000,0.009991,6656000
cpu,1,1705665503480000000,0.009810,6782976
cpu,1,1705665505770000000,0.009738,6660096
cpu,1,1705665507981000000,0.008441,6660096
cpu,1,1705665510135000000,0.008136,6660096
cpu,1,1705665512360000000,0.009149,6656000
cpu,1,1705665514551000000,0.008521,6656000
cpu,1,1705665516892000000,0.009000,6660096
cpu,1,1705665519401000000,0.010106,6660096
cpu,1,1705665522022000000,0.009274,6660096
cpu,1,1705665524645000000,0.010569,6660096
cpu,1,1705665526914000000,0.009232,6656000
cpu,1,1705665529551000000,0.008978,6656000
cpu,1,1705665531984000000,0.007540,6656000
cpu,1,1705665534261000000,0.009480,6656000
cpu,1,1705665536884000000,0.009397,6660096
cpu,1,1705665539432000000,0.009462,6660096
cpu,1,1705665541639000000,0.010689,6660096
cpu,1,1705665544044000000,0.008433,6656000
cpu,1,1705665546252000000,0.008358,6656000
cpu,1,1705665548579000000,0.008585,6656000
cpu,1,1705665550855000000,0.006672,6656000
cpu,1,1705665553674000000,0.007506,6656000
cpu,1,1705665555900000000,0.007405,6656000
cpu,1,1705665558718000000,0.007291,6660096
cpu,1,1705665560994000000,0.007112,6660096
cpu,1,1705665563188000000,0.006763,6660096
cpu,1,1705665565659000000,0.008579,6656000
cpu,1,1705665568281000000,0.007407,6656000
cpu,1,1705665570842000000,0.007260,6656000
cpu,1,1705665573461000000,0.006974,6660096
cpu,1,1705665576022000000,0.006925,6660096
cpu,1,1705665578405000000,0.008100,6656000
cpu,1,1705665581010000000,0.007875,6656000
cpu,1,1705665583203000000,0.008020,6660096
cpu,1,1705665585628000000,0.010109,6664192
cpu,1,1705665587892000000,0.008664,6656000
cpu,1,1705665590285000000,0.008184,6656000
cpu,1,1705665592935000000,0.007135,6656000
cpu,1,1705665595202000000,0.008800,6660096
cpu,1,1705665597863000000,0.009013,6656000
cpu,1,1705665600351000000,0.009609,6656000
cpu,1,1705665602581000000,0.008551,6656000
cpu,1,1705665605124000000,0.009334,6660096
cpu,1,1705665607539000000,0.007940,6656000
cpu,1,1705665609854000000,0.007925,6656000
cpu,1,1705665612071000000,0.009043,6656000
cpu,1,1705665614685000000,0.007550,6656000
cpu,1,1705665617029000000,0.007646,6656000
cpu,1,1705665619660000000,0.007967,6656000
cpu,1,1705665622024000000,0.009227,6656000
cpu,1,1705665624473000000,0.007740,6656000
cpu,1,1705665626719000000,0.007617,6656000
cpu,1,1705665629375000000,0.007542,6660096
cpu,1,1705665631653000000,0.007506,6660096
cpu,1,1705665633860000000,0.008505,6656000
cpu,1,1705665636470000000,0.008634,6656000
cpu,1,1705665638982000000,0.009325,6660096
cpu,1,1705665641198000000,0.010371,6656000
cpu,1,1705665643771000000,0.008959,6656000
cpu,1,1705665646275000000,0.010406,6660096
cpu,1,1705665648639000000,0.009191,6660096
cpu,1,1705665650857000000,0.008762,6660096
cpu,1,1705665653261000000,0.010430,6656000
cpu,1,1705665655599000000,0.010543,6660096
cpu,1,1705665658123000000,0.010601,6660096
cpu,1,1705665660727000000,0.008852,6660096
cpu,1,1705665663097000000,0.008502,6656000
cpu,1,1705665665385000000,0.009226,6656000
cpu,1,1705665668653000000,0.009101,6656000
cpu,1,1705665671754000000,0.010818,6791168
cpu,1,1705665674367000000,0.008777,6656000
cpu,1,1705665677094000000,0.007188,6656000
cpu,1,1705665679680000000,0.008755,6656000
cpu,1,1705665682096000000,0.009549,6660096
cpu,1,1705665684790000000,0.008801,6656000
cpu,1,1705665687231000000,0.009798,6656000
cpu,1,1705665689853000000,0.008803,6656000
cpu,1,1705665692165000000,0.008631,6656000
cpu,1,1705665694770000000,0.009136,6656000
cpu,1,1705665697391000000,0.008662,6656000
cpu,1,1705665699862000000,0.008642,6656000
cpu,1,1705665702421000000,0.008173,6656000
cpu,1,1705665705000000000,0.008698,6660096
cpu,1,1705665707419000000,0.008184,6660096
cpu,1,1705665709997000000,0.008813,6656000
cpu,1,1705665712543000000,0.008353,6656000
cpu,1,1705665714954000000,0.008991,6660096
cpu,1,1705665717161000000,0.010164,6656000
cpu,1,1705665719735000000,0.009042,6656000
cpu,1,1705665721937000000,0.007042,6656000
cpu,1,1705665724400000000,0.008610,6660096
cpu,1,1705665726777000000,0.008955,6660096
cpu,1,1705665729457000000,0.010402,6656000
cpu,1,1705665731900000000,0.008706,6656000
cpu,1,1705665734239000000,0.008837,6660096
cpu,1,1705665736622000000,0.008774,6660096
cpu,1,1705665738888000000,0.010396,6656000
cpu,1,1705665741281000000,0.008736,6656000
cpu,1,1705665743963000000,0.008877,6656000
